go_term,bg_count,top_count,p_value,q_value
receptor tyrosine kinase binding,186,9,2.5072875155576834e-06,4.1541613137102675e-05
positive regulation of epithelial cell proliferation,139,8,2.5109473961648304e-06,4.1541613137102675e-05
substrate adhesion-dependent cell spreading,139,8,2.5109473961648304e-06,4.1541613137102675e-05
anatomical structure morphogenesis,712,17,2.6038215780720864e-06,4.2959469507090154e-05
vocalization behavior,36,5,2.6367357928735374e-06,4.33829963283506e-05
T cell receptor signaling pathway,297,11,2.67927718975994e-06,4.39621673684172e-05
lncRNA binding,99,7,2.73234683719223e-06,4.4710451387825864e-05
negative regulation of canonical Wnt signaling pathway,427,13,2.963761760187878e-06,4.836503864241199e-05
positive regulation of transcription of Notch receptor target,17,4,3.021366035641034e-06,4.890530050663284e-05
Roundabout signaling pathway,17,4,3.021366035641034e-06,4.890530050663284e-05
histone H3K9 monomethyltransferase activity,17,4,3.021366035641034e-06,4.890530050663284e-05
renal water homeostasis,37,5,3.0334459003707596e-06,4.896848382027084e-05
tissue development,244,10,3.107550135600418e-06,5.002988645728738e-05
histone demethylase activity,66,6,3.2906670364144528e-06,5.283593801899774e-05
Hsp90 protein binding,145,8,3.439974226030613e-06,5.508557657673086e-05
positive regulation of multicellular organismal process,103,7,3.561011494200998e-06,5.6720472975451535e-05
growth factor binding,103,7,3.561011494200998e-06,5.6720472975451535e-05
endodermal cell differentiation,67,6,3.595764149329074e-06,5.712209944385099e-05
calcium channel regulator activity,146,8,3.6200901850740893e-06,5.73564024296527e-05
calcium ion transmembrane transport,506,14,3.752347689935311e-06,5.929501402380627e-05
transport across blood-brain barrier,104,7,3.7980141685390078e-06,5.985870225100031e-05
cell surface receptor signaling pathway via JAK-STAT,196,9,3.845650681720991e-06,6.045039877382418e-05
histone acetyltransferase binding,68,6,3.923475611215016e-06,6.1351685210357e-05
protein serine/threonine kinase inhibitor activity,68,6,3.923475611215016e-06,6.1351685210357e-05
cellular response to glucagon stimulus,39,5,3.9666906700731615e-06,6.186591256007334e-05
neuron projection development,439,13,3.997640786800411e-06,6.218667707051342e-05
neuron development,310,11,4.0301703120003675e-06,6.253028497038912e-05
positive regulation of canonical Wnt signaling pathway,375,12,4.275415342832687e-06,6.616398575768724e-05
distal tubule development,6,3,4.4059744728202646e-06,6.731474774928716e-05
regulation of cell adhesion involved in heart morphogenesis,6,3,4.4059744728202646e-06,6.731474774928716e-05
basal dendrite arborization,6,3,4.4059744728202646e-06,6.731474774928716e-05
cardiac chamber formation,6,3,4.4059744728202646e-06,6.731474774928716e-05
negative regulation of cell proliferation involved in heart morphogenesis,6,3,4.4059744728202646e-06,6.731474774928716e-05
regulation of RNA splicing,254,10,4.431603603073438e-06,6.75340304804245e-05
sarcoplasmic reticulum,200,9,4.531525570218066e-06,6.888148893410152e-05
apoptotic signaling pathway,151,8,4.645379530366628e-06,7.035298100907712e-05
platelet-derived growth factor receptor signaling pathway,70,6,4.651825092602194e-06,7.035298100907712e-05
hepatocyte growth factor receptor signaling pathway,19,4,4.873143253852911e-06,7.351449608898005e-05
non-membrane spanning protein tyrosine kinase activity,203,9,5.112450731447753e-06,7.693082269005175e-05
limb development,109,7,5.189361697779272e-06,7.78924491428573e-05
cellular response to retinoic acid,154,8,5.3711630193593945e-06,8.041973830735855e-05
metanephros development,72,6,5.4863527952892165e-06,8.193956830670104e-05
mRNA transcription by RNA polymerase II,110,7,5.5130533677092475e-06,8.213352392838479e-05
axon extension involved in axon guidance,42,5,5.773068055238765e-06,8.579380789782868e-05
positive regulation of peptidyl-serine phosphorylation,73,6,5.946967437238835e-06,8.815937619213707e-05
positive regulation of neuron apoptotic process,207,9,5.985483602199527e-06,8.851126245326659e-05
spectrin-associated cytoskeleton,20,4,6.0620475254515635e-06,8.942266657618082e-05
positive regulation of autophagy,265,10,6.428132612040718e-06,9.458989241649106e-05
transcription regulator inhibitor activity,113,7,6.586470019258361e-06,9.644588984190299e-05
establishment or maintenance of epithelial cell apical/basal polarity,113,7,6.586470019258361e-06,9.644588984190299e-05
actin filament,329,11,7.064129425705893e-06,0.00010318797836720144
cell body,268,10,7.091960714233303e-06,0.00010334246403295194
axonogenesis,395,12,7.212651723838817e-06,0.00010484604653900649
negative regulation of ERK1 and ERK2 cascade,212,9,7.253729276338804e-06,0.0001051878562614845
positive regulation of ossification,44,5,7.2965826550056845e-06,0.00010555370415659189
organelle,161,8,7.445650629261742e-06,0.00010745060630999655
monoatomic ion channel activity,855,18,7.487196037443201e-06,0.00010779042564482532
striatal medium spiny neuron differentiation,7,3,7.675478067218367e-06,0.0001090803398165314
tolerance induction in gut-associated lymphoid tissue,7,3,7.675478067218367e-06,0.0001090803398165314
nephric duct formation,7,3,7.675478067218367e-06,0.0001090803398165314
voltage-gated calcium channel activity involved in cardiac muscle cell action potential,7,3,7.675478067218367e-06,0.0001090803398165314
regulation of type I interferon-mediated signaling pathway,7,3,7.675478067218367e-06,0.0001090803398165314
extracellular matrix,1491,25,7.68607503799904e-06,0.0001090803398165314
phospholipid binding,467,13,7.73770767718475e-06,0.0001092951209402346
protein localization to plasma membrane,467,13,7.73770767718475e-06,0.0001092951209402346
positive regulation of vascular associated smooth muscle cell proliferation,116,7,7.827998854050117e-06,0.00011031031796919094
protein localization to chromatin,77,6,8.114019350837602e-06,0.00011402221593616138
nBAF complex,45,5,8.167562303658913e-06,0.00011402221593616138
axon guidance receptor activity,45,5,8.167562303658913e-06,0.00011402221593616138
positive regulation of lipid biosynthetic process,45,5,8.167562303658913e-06,0.00011402221593616138
DNA-templated transcription,470,13,8.280625068744203e-06,0.00011509200854325228
B cell receptor signaling pathway,117,7,8.282627430646473e-06,0.00011509200854325228
negative regulation of T cell receptor signaling pathway,78,6,8.745067374783829e-06,0.00012114847985232462
regulation of mRNA stability,118,7,8.758940019378287e-06,0.00012114847985232462
E-box binding,165,8,8.909014597410903e-06,0.00012294029590758965
peroxisome proliferator activated receptor signaling pathway,22,4,9.064449753666738e-06,0.00012410486683478488
genitalia development,22,4,9.064449753666738e-06,0.00012410486683478488
negative regulation of vascular associated smooth muscle cell differentiation,22,4,9.064449753666738e-06,0.00012410486683478488
positive regulation of amyloid-beta formation,46,5,9.117739423493964e-06,0.00012410486683478488
positive regulation of RNA splicing,46,5,9.117739423493964e-06,0.00012410486683478488
nuclear glucocorticoid receptor binding,46,5,9.117739423493964e-06,0.00012410486683478488
neuron migration,339,11,9.345955304958787e-06,0.0001269227354226716
branching involved in ureteric bud morphogenesis,79,6,9.415267309123311e-06,0.00012757474188764594
skin development,120,7,9.77986123598932e-06,0.00013221577639354408
insulin receptor binding,80,6,1.0126431634236194e-05,0.00013628584057851813
cortical cytoskeleton,80,6,1.0126431634236194e-05,0.00013628584057851813
receptor internalization,121,7,1.0326144872500563e-05,0.0001386620664605513
atrial septum morphogenesis,23,4,1.0919860653016082e-05,0.00014598001216721725
response to leptin,23,4,1.0919860653016082e-05,0.00014598001216721725
liver development,346,11,1.130213748607682e-05,0.0001507539006773142
retinal ganglion cell axon guidance,82,6,1.1679176630415104e-05,0.00015509221472185378
embryonic limb morphogenesis,82,6,1.1679176630415104e-05,0.00015509221472185378
protein tyrosine phosphatase activity,487,13,1.2039075746626176e-05,0.00015951775364279682
negative regulation of cell cycle,124,7,1.2118793025557814e-05,0.0001602195395807191
retrograde trans-synaptic signaling by trans-synaptic protein complex,8,3,1.2225071873599963e-05,0.00016056130581357494
cytokine production,8,3,1.2225071873599963e-05,0.00016056130581357494
negative regulation of long-chain fatty acid import across plasma membrane,8,3,1.2225071873599963e-05,0.00016056130581357494
neuron differentiation,721,16,1.2508248802208536e-05,0.00016377767143932432
"phosphatidylinositol-4,5-bisphosphate phospholipase C activity",83,6,1.2524657458542417e-05,0.00016377767143932432
positive regulation of synapse assembly,173,8,1.2571696214071817e-05,0.0001640346157430852
regulation of intracellular signal transduction,125,7,1.2770655366429765e-05,0.0001662683804120606
cardiac muscle cell myoblast differentiation,24,4,1.3040678321021587e-05,0.00016936419339149544
ubiquitin-protein transferase activity,1068,20,1.3064995382680062e-05,0.00016936419339149544
gamma-aminobutyric acid signaling pathway,84,6,1.3418904256426074e-05,0.0001720895451643164
cardiac muscle cell differentiation,84,6,1.3418904256426074e-05,0.0001720895451643164
positive regulation of calcium-mediated signaling,84,6,1.3418904256426074e-05,0.0001720895451643164
SUMO transferase activity,84,6,1.3418904256426074e-05,0.0001720895451643164
positive regulation of Ras protein signal transduction,84,6,1.3418904256426074e-05,0.0001720895451643164
positive regulation of transcription by RNA polymerase III,50,5,1.3813241033115362e-05,0.00017676816356266645
cell morphogenesis,354,11,1.3964755947856955e-05,0.00017832606262625867
cellular response to angiotensin,51,5,1.5238080938976879e-05,0.00019334929394816214
tube development,51,5,1.5238080938976879e-05,0.00019334929394816214
semaphorin receptor activity,51,5,1.5238080938976879e-05,0.00019334929394816214
regulation of fibroblast migration,25,4,1.5449810625535468e-05,0.00019562138654615627
positive regulation of JNK cascade,294,10,1.57908691633695e-05,0.00019951796501987328
centrosome,1962,29,1.584299275188747e-05,0.00019975512334958746
epidermal growth factor receptor signaling pathway,179,8,1.608598047016048e-05,0.0002023927248651074
intercalated disc,130,7,1.64810191443843e-05,0.00020692038580011072
endoplasmic reticulum membrane,4684,53,1.651493478251009e-05,0.00020692038580011072
regulation of cytokine production,361,11,1.6724899810679845e-05,0.00020886595703000036
positive regulation of calcineurin-NFAT signaling cascade,52,5,1.6774841431195555e-05,0.00020886595703000036
SUMO ligase activity,52,5,1.6774841431195555e-05,0.00020886595703000036
pericentric heterochromatin,131,7,1.7320511168254284e-05,0.00021521274146613052
cell leading edge,181,8,1.7426750269182683e-05,0.00021563803173994854
intracellular receptor signaling pathway,181,8,1.7426750269182683e-05,0.00021563803173994854
negative regulation of extrinsic apoptotic signaling pathway,88,6,1.752624879682483e-05,0.0002164220701941936
cardiac muscle tissue regeneration,26,4,1.8170903299335254e-05,0.0002239208639088865
activation of transmembrane receptor protein tyrosine kinase activity,9,3,1.8254472090747233e-05,0.0002240287568677975
positive regulation of thyroid hormone generation,9,3,1.8254472090747233e-05,0.0002240287568677975
bicellular tight junction,434,12,1.831018036592831e-05,0.00022425290431808724
negative regulation of myoblast differentiation,53,5,1.8429605471355605e-05,0.00022525491258765045
synaptic vesicle,584,14,1.8592990005650956e-05,0.00022678903695283822
regulation of heart rate by cardiac conduction,89,6,1.8696859190512596e-05,0.00022759245872353644
amyloid-beta binding,183,8,1.886012671157049e-05,0.00022911419650222244
regulation of embryonic development,133,7,1.9105587295444428e-05,0.00023162623949881918
oligodendrocyte differentiation,90,6,1.9929660624980137e-05,0.0002411287625919314
negative regulation of cellular senescence,54,5,2.020863693185179e-05,0.00024401114230818626
positive regulation of protein localization to plasma membrane,135,7,2.1039758921331906e-05,0.00025302633771055575
cognition,135,7,2.1039758921331906e-05,0.00025302633771055575
endocytic vesicle,243,9,2.145067280084e-05,0.0002574510609303222
stress fiber assembly,55,5,2.211838082598745e-05,0.0002649339655336777
circadian rhythm,443,12,2.2368697147574817e-05,0.0002673974595146219
embryonic digit morphogenesis,93,6,2.402597524424683e-05,0.0002866365851350483
positive regulation of smooth muscle cell proliferation,138,7,2.424151374505118e-05,0.0002886330533183132
ossification involved in bone maturation,28,4,2.4647103648706225e-05,0.0002928799677621063
receptor-mediated endocytosis,248,9,2.5161959537965104e-05,0.00029840589242153073
receptor ligand activity,449,12,2.5490541231360038e-05,0.0003016071231595038
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,94,6,2.553261169508573e-05,0.0003016071231595038
cell surface receptor protein tyrosine phosphatase signaling pathway,10,3,2.5959625957596022e-05,0.00030492324114770073
metanephric epithelium development,10,3,2.5959625957596022e-05,0.00030492324114770073
regulation of autophagy,249,9,2.5966079977513336e-05,0.00030492324114770073
ventricular septum development,57,5,2.6356692452717642e-05,0.0003089045618382113
transforming growth factor beta receptor signaling pathway,251,9,2.7639857368661673e-05,0.0003226805180914518
cartilage development,251,9,2.7639857368661673e-05,0.0003226805180914518
ERBB signaling pathway,29,4,2.845298588940379e-05,0.00033088336406143554
regulation of cardiac muscle contraction by calcium ion signaling,29,4,2.845298588940379e-05,0.00033088336406143554
protein tyrosine kinase binding,142,7,2.9124722521189428e-05,0.0003380386883321773
cellular response to glucocorticoid stimulus,97,6,3.0513816315952623e-05,0.0003534762977103293
positive regulation of dendritic spine development,59,5,3.11997266317162e-05,0.00036072425250453343
establishment of protein localization,144,7,3.1853711367970506e-05,0.00036757587164311243
positive regulation of stem cell population maintenance,98,6,3.233737961952676e-05,0.00037243955104104956
glutamate receptor signaling pathway,30,4,3.267233324671703e-05,0.000373424816440054
receptor localization to synapse,30,4,3.267233324671703e-05,0.000373424816440054
astrocyte differentiation,30,4,3.267233324671703e-05,0.000373424816440054
negative regulation of substrate adhesion-dependent cell spreading,30,4,3.267233324671703e-05,0.000373424816440054
stress fiber,257,9,3.322046173450823e-05,0.00037896637205327583
learning,145,7,3.329498788875161e-05,0.00037909445335690753
